IATA,Passengers
ATL,104171935
PEK,94393454
DXB,83654250
LAX,80921527
HND,79699762
ORD,78327479
LHR,75715474
HKG,70314462
PVG,66002414
CDG,65933145
DFW,65670697
AMS,63625534
FRA,60786937
IST,60248741
CAN,59732147
JFK,58813103
SIN,58698000
DEN,58266515
ICN,57849814
BKK,55892428
DEL,55631385
CGK,54969536
SFO,53099282
KUL,52640043
MAD,50397928
LAS,47496614
CTU,46039137
SEA,45736700
BOM,44680555
MIA,44584603
CLT,44422022
YYZ,44335198
BCN,44131031
PHX,43302381
LGW,43136795
TPE,42296322
MUC,42261309
SYD,41985810
KMG,41980515
SZX,41975090
MCO,41923399
FCO,41738662
IAH,41622594
MEX,41410254
JED,41200000
DMK,40758148
SHA,40460135
EWR,40289969
MNL,39534991
GRU,39213865
NRT,39000563
SGN,38500000
HGH,38240000
MSP,37413728
DOH,37283987
GRU,35962000
DOH,35400000
SAW,34210566
ORY,33120685
DME,33108047
FLL,32511053
DTW,32389544
BLR,32300000
DUB,31497526
ZRH,31113488
CPH,30298531
PHL,30228596
LGA,29568304
MEL,29431084
DME,29403704
PMI,29081787
LIS,29031268
BOS,28866313
KIX,28660428
AYT,28629078
NKG,28580000
OSL,28518584
MAN,28254970
STN,27995121
CGO,27330000
VIE,27037292
HAN,27000000
ARN,26845419
RUH,26772525
XMN,26500000
BWI,26369411
YVR,26328411
CJU,26290832
BRU,25675939
CSX,25270000
BOG,25009483
MXP,24725490
GMP,24602588
TAO,24540000
WUH,24500000
YVR,24328872
DUS,24283967
SLC,24198816
ATH,24135736
HAK,24120000
CTS,24081728
DCA,23863775
DPS,23779178
CUN,23601502
SYX,23590000
FUK,23271641
BNE,23205702
URC,23030000
TLV,22949676
IAD,22716399
MDW,22460236
MAA,22243650
SAN,22173493
AUH,22010868
TXL,22000430
VKO,21478486
HNL,21377989
HEL,20848838
JNB,20803950
AKL,20025922
HNL,19950707
TPA,19624284
PDX,19080494
AGP,19021704
YUL,18159223
LED,18123064
WAW,17755542
GVA,17677035
HAM,17234229
CGH,17119530
GIG,17115369
PRG,16797006
LTN,16766552
BSB,16489996
CAI,16468082
YYC,16275862
YYC,16275862
DAL,15723617
SCL,15295246
LIM,15271842
BUD,14867491
STL,14730441
EDI,14291811
BNA,14133829
ALC,13981320
AUS,13889305
NCE,13850561
OTP,13820428
PER,13690610
HOU,13435672
PTY,13434673
OAK,13072245
SXF,12725937
KBP,12602933
SJC,12480232
BHX,12454642
CGN,12384223
MXP,12336137
MSY,12241172
CCS,11956178
OPO,11939562
STR,11798090
RDU,11671693
MCI,11503940
VCE,11184608
LYS,11037410
SMF,10912079
SNA,10423578
CNF,10301288
CPT,10090418
CTA,9933318
NAP,9932029
RKV,9804388
GLA,9652516
TLS,9630308
AEP,9552504
MRS,9390371
VCP,9295349
LIN,9233475
SDU,9204603
CLE,9140445
SAT,9063542
PIT,8988016
RSW,8842549
SJU,8808028
ADD,8730600
BRS,8696653
FAO,8685571
CMN,8616981
SSA,8589663
BSL,8573705
EZE,8533372
BLQ,8506658
IBZ,8104316
ADL,8090000
BRU,8029680
POA,7993164
HER,7974887
VLC,7769867
ALG,7572758
PUJ,7264912
NBO,7111501
RIX,7056099
SOF,6962040
REC,6840276
MLA,6808177
GOT,6807976
BOD,6799572
KRK,6769369
CWB,6742133
PMO,6628558
CHC,6566598
OOL,6457086
OGG,6444000
SKG,6403396
SVQ,6380465
LOS,6324847
HAJ,6324634
BGO,6306623
BFS,6268953
NTE,6199181
EIN,6183968
WLG,6049194
FOR,5952629
CIA,5839737
UIO,5800000
HAV,5713859
HAV,5713859
BEG,5641105
BIO,5469453
PSA,5463090
NCL,5332238
RHO,5245810
DUR,5192315
SIP,5146095
MDE,5077540
LPL,5042312
BRI,5030760
GDN,4980647
TUN,4928438
VON,4922949
CNS,4898189
KTW,4838149
LCY,4820292
MSQ,4536618
SJO,4494875
NUE,4466864
TRD,4441791
CAG,4370014
MBJ,4284558
SVG,4262476
ABV,4191251
KRR,4160053
RAK,3895647
SDQ,3687024
NAS,3339876
NAS,3339876
KOA,3283000
MRU,3197308
KRT,3142751
CBR,2995470
HRG,2906907
LIH,2899000
POS,2884843
POS,2884843
SAL,2725458
HBE,2642059
AUA,2602728
DAR,2469356
HBA,2440792
ACC,2381917
PTP,2361198
GUA,2323360
BGI,2172603
ZQN,2140669
RUN,2107270
DRW,2057307
DKR,1954229
FDF,1864582
FDF,1864582
CUR,1835000
ABJ,1829049
SXM,1795117
SSH,1756554
ORN,1675930
KIN,1594096
PLZ,1582961
EBB,1549549
PAP,1500521
MGA,1499756
TSV,1497946
STT,1403000
STI,1400551
POM,1400000
AGA,1334331
MBA,1325251
ITO,1306000
ADZ,1277163
VRA,1275000
LST,1272198
NTL,1257210
DJE,1248583
PPT,1195105
LUN,1147422
SEZ,1074822
PHC,1042023
GCM,1035826
ZNZ,1032284
NSN,1000373
BON,462897
STX,375000
SKB,350727
EIS,310089
SLU,300259
RTB,286738
SCU,280000
DAV,260603
NAN,247760
PAC,228722
LRM,210669
PSE,203617
VQS,143064
AZS,138055
LCE,133768
BLB,132205
FRS,109490
BOC,80378
BEF,63200
RNI,62200
PUZ,40100
TMU,38699
PJM,38165
RIH,37759
XQP,29872
GSJ,28598
CHX,18664
TNO,18209
GLF,18024
SYQ,14723
DRK,13105
